topic,cluster,x,y
cell,2,14.757526,3.676472
drug,0,6.1500826,10.946686
health,6,-1.5619391,2.91438
cell,2,12.5305395,2.4040024
protein,4,13.408399,11.969895
patient,3,8.783127,-3.6557148
patient,3,8.6388,-3.768051
protein,4,7.2113757,3.3993165
patient,3,6.8107543,-0.59291416
cell,2,13.471175,5.0807753
health,6,-1.9122761,4.1761127
sample,5,5.688385,2.0697942
sample,5,3.5879383,3.0286686
cell,2,11.183946,5.9322376
drug,0,5.1370134,10.653637
cell,2,11.296573,5.863902
patient,3,8.503695,-3.5200527
health,6,-2.4257872,4.185748
patient,3,8.669974,-3.3834221
health,6,-2.6059,4.1853495
vaccine,1,6.687472,7.5775313
protein,4,13.522409,11.634951
protein,4,13.270977,10.067355
health,6,-1.6383142,4.01817
vaccine,1,8.742303,8.137988
health,6,9.571347,13.109786
patient,3,8.560162,-2.5001528
patient,3,7.205915,-3.1228015
health,6,-1.310715,3.8657413
vaccine,1,8.163664,7.551399
patient,3,7.068029,-1.0755395
patient,3,8.70038,-3.6308901
sample,5,5.3732753,2.2382379
patient,3,6.754638,-2.798443
cell,2,11.7537565,5.534914
health,6,-0.5040082,4.162611
cell,2,12.326893,2.61843
cell,2,13.048305,3.8017955
patient,3,8.607789,-3.7175343
sample,5,5.4240746,2.2624667
patient,3,7.328254,-2.8262496
health,2,12.916993,3.770704
cell,2,13.460062,4.2433815
sample,5,3.53234,3.0556843
protein,4,11.273196,12.1804695
sample,5,5.321525,2.1504784
sample,5,5.1714954,2.1219008
sample,5,5.5233927,3.3472743
drug,0,6.1775646,11.898579
protein,4,10.481844,9.90167
protein,4,12.868758,13.121978
cell,2,12.442629,5.045436
health,6,1.3112704,3.5403886
health,6,-1.9950392,4.159689
health,6,-3.2482505,4.716403
cell,2,14.833108,3.7107444
cell,2,13.958826,7.6286974
vaccine,1,7.640851,8.5496855
health,6,-2.448545,4.098033
cell,2,11.940543,5.401769
drug,0,6.078666,11.395358
sample,5,6.1205955,2.6627734
protein,4,13.330015,12.846254
health,6,5.191188,7.3564086
health,6,-0.5238181,2.0744252
vaccine,1,9.262623,8.6891775
vaccine,1,7.4102387,7.6565557
protein,4,11.092376,12.099892
health,6,-1.2814424,3.3668334
cell,2,14.036219,7.3129106
protein,4,11.943305,11.272334
cell,2,11.862213,3.676564
sample,5,5.7812023,1.1957484
cell,2,13.736081,4.8413754
health,6,0.62567526,1.0563029
protein,4,10.830644,10.283336
health,6,-0.11816229,1.6999137
vaccine,1,8.211192,6.3279986
protein,4,12.6494,13.149808
health,6,-0.28995627,1.8347564
cell,0,11.763958,3.2195733
patient,0,7.4207015,-1.489633
protein,4,10.771735,10.226343
patient,3,9.265139,-4.24146
sample,5,5.809395,1.0775241
vaccine,1,8.669261,8.069744
sample,5,5.6848955,2.2984383
vaccine,1,10.710888,6.133719
sample,3,6.416356,0.1596591
vaccine,1,7.8789773,7.7990704
protein,4,12.802748,13.484165
sample,5,5.109316,2.0346942
protein,0,8.646125,11.671154
drug,0,6.194959,12.029801
health,6,-0.94594127,3.6787987
cell,2,11.977229,5.3817577
patient,3,7.1297755,-1.1393117
cell,2,13.161743,5.138864
cell,2,14.200312,6.533915
patient,3,7.1610084,-1.2454668
drug,0,6.5251265,11.911976
protein,4,7.289283,3.4701557
health,6,-3.2983315,4.7789893
drug,0,6.483269,11.211499
cell,2,13.984765,3.8954465
protein,4,13.476376,13.64301
cell,2,13.774081,4.1157174
vaccine,1,6.983593,6.3827534
sample,5,6.807927,2.1230512
health,6,9.1022415,13.247331
sample,5,6.216079,2.0959837
vaccine,1,7.2889137,7.689393
drug,0,6.033613,11.34235
patient,3,8.8625765,-3.843211
vaccine,1,9.057167,8.913625
cell,2,14.233254,5.981042
health,6,0.13141708,3.9421785
protein,4,13.371952,12.937464
cell,2,12.317379,2.277095
health,6,-2.9158986,4.328458
vaccine,1,7.626237,8.291176
sample,3,6.1369076,0.7644454
vaccine,1,6.614396,5.8934402
sample,5,5.3550606,3.0026462
cell,2,11.979193,5.3709507
cell,2,11.902321,5.4279594
protein,0,8.924774,11.67189
patient,2,11.871578,2.1121707
protein,4,12.548137,13.278934
sample,3,6.3346686,-0.25277796
patient,3,7.675304,-3.3872697
patient,3,8.668869,-3.3826969
health,6,-2.164948,4.1904635
drug,0,6.171922,12.018626
drug,0,6.9386544,10.283599
cell,2,14.162539,4.40335
sample,5,5.8137283,4.412771
drug,0,6.831465,11.746674
vaccine,1,7.3114257,9.455966
drug,0,5.528015,11.072145
cell,2,14.8615675,3.5304637
protein,2,13.871002,7.9412346
health,6,1.871197,0.09302038
sample,5,4.664682,2.4771528
health,2,9.962849,12.736325
protein,4,13.277186,12.674041
cell,2,14.5883,5.2104087
sample,5,3.5552993,3.049484
cell,2,13.924642,4.0198493
protein,4,13.224552,13.264898
health,6,-2.442421,4.173191
cell,2,11.92257,3.6626136
patient,3,8.286298,-3.0039504
vaccine,1,7.284006,6.7825966
sample,3,6.4200635,0.12141146
health,6,-1.5252157,2.841181
drug,0,5.7703524,11.242463
protein,4,10.32911,12.836545
patient,3,6.6106176,-2.00405
sample,5,3.3595896,3.1099465
sample,5,5.4826784,3.8391433
protein,1,10.148023,9.794833
health,6,-1.8349794,3.7856247
sample,5,6.566648,2.858214
cell,2,14.109521,7.2413077
vaccine,1,8.935989,7.079154
sample,3,6.2639966,0.37407273
vaccine,1,9.436526,8.843818
protein,4,10.749405,12.976264
health,6,-1.8849318,4.1782584
drug,0,7.9286685,11.628691
cell,2,13.401446,4.338547
patient,3,7.4186153,-1.8038108
vaccine,1,8.729934,8.131791
cell,2,14.458563,5.7236757
protein,2,13.800587,8.205659
sample,5,6.4609933,1.962952
protein,4,11.085541,12.020742
protein,4,12.273058,13.140396
health,6,-2.5395417,4.2074943
sample,5,5.5988817,3.3355167
vaccine,1,7.5891514,7.0530233
vaccine,1,8.032455,7.31521
protein,1,9.829526,9.242128
patient,3,7.00209,-0.94859403
health,6,-3.041569,4.432853
cell,2,13.990399,4.3309608
cell,2,13.649928,3.499347
health,6,-2.2201424,4.1725254
health,6,-2.2854707,4.0803437
patient,2,11.666966,1.8393769
cell,2,11.372068,5.80446
protein,4,13.418021,11.891894
protein,4,12.358083,13.186577
sample,5,5.294404,2.119053
drug,0,11.061317,3.8048768
patient,3,5.6410336,-2.2336948
patient,3,8.64836,-3.3546638
cell,2,14.8908,3.5156863
sample,5,6.0861096,0.6263323
health,6,-0.085525356,1.6272843
vaccine,1,7.563873,8.617389
vaccine,1,6.761312,7.547229
health,6,-2.980978,4.3930902
drug,0,5.1576123,10.610183
vaccine,1,7.7018757,7.5281205
health,6,9.082276,13.279384
protein,4,13.459431,13.628918
vaccine,1,9.56202,9.000108
health,6,-1.9862075,3.8121881
drug,0,6.2368326,11.8879795
protein,4,13.083104,10.719356
patient,3,3.821262,-1.2368267
health,6,9.683239,13.086576
vaccine,1,10.527176,6.331313
cell,2,14.73359,3.672863
sample,5,5.6300964,4.1280932
sample,5,5.8641324,3.2329953
health,6,-2.3764112,4.430185
cell,0,11.579691,3.586024
sample,5,3.3806841,3.1379247
sample,5,5.852115,1.9987895
vaccine,1,9.046768,8.388029
health,6,-1.1227357,4.8914695
patient,3,4.6624074,-1.7096146
vaccine,1,8.445158,7.9575377
sample,5,5.8885365,1.9646215
drug,0,6.474298,11.4833975
sample,5,5.7251687,4.24236
sample,5,4.2173142,2.7066417
patient,0,7.599095,-1.6837566
health,6,-1.2176396,3.5151162
vaccine,1,8.236115,6.2154613
sample,5,5.278272,2.2424676
vaccine,1,8.919375,8.286117
vaccine,1,7.458733,8.911302
protein,4,11.597257,11.019876
protein,4,12.234019,13.065623
vaccine,1,10.070679,6.72734
sample,5,6.171112,1.9478945
protein,4,13.523544,9.160409
protein,4,13.45934,13.629565
vaccine,1,6.700772,7.569982
sample,5,5.389458,3.0240102
health,6,0.18045782,3.8976405
drug,0,6.1073155,11.839711
protein,4,13.149936,13.2097225
protein,4,12.873337,12.729649
vaccine,1,8.911542,8.246382
patient,3,8.456613,-2.5836518
sample,1,6.4602294,5.655365
protein,4,11.933943,11.274381
vaccine,1,8.187595,6.456495
vaccine,6,5.9493256,7.43114
cell,2,12.593879,2.4564488
health,6,-1.9660149,3.7969801
sample,3,6.2587466,0.36014622
sample,5,5.7574444,1.2398957
vaccine,1,7.9442773,7.5398564
patient,3,6.90562,-2.9025555
patient,3,9.106861,-4.036501
sample,5,7.104122,3.3095326
cell,2,14.803538,3.572509
health,6,0.68192756,3.704031
vaccine,1,8.185842,6.920297
drug,0,6.6147766,11.36767
vaccine,1,7.899982,7.546397
protein,0,9.328441,11.398846
vaccine,1,6.5149717,5.7692184
sample,5,5.4055567,2.155264
health,6,-2.013945,4.380395
vaccine,1,7.380167,9.0306225
protein,4,13.498837,9.226123
health,6,-0.42756987,1.9222757
vaccine,1,8.087259,7.2090244
protein,4,12.126357,13.084339
cell,2,14.522285,4.4418535
drug,0,5.844097,11.459644
health,6,-3.3029408,4.7769227
sample,3,6.570858,-0.16065428
patient,3,6.9845195,-2.8474126
cell,2,14.27646,5.86128
protein,0,9.185634,11.725549
sample,3,6.310049,0.27818623
health,6,1.6094941,0.9738365
protein,4,13.418791,9.509058
patient,3,8.856253,-3.7779205
health,6,1.942524,0.039666597
health,6,1.5263335,3.416185
protein,4,13.019893,10.962378
protein,4,10.399773,12.980309
vaccine,1,9.563191,8.782978
drug,0,6.174981,11.972492
health,6,-1.9464266,4.438784
patient,3,9.106953,-3.4414937
protein,2,13.755106,8.313432
protein,4,13.260442,13.270689
cell,2,12.147137,5.2623262
drug,0,5.907823,11.483477
drug,2,5.309887,10.72681
patient,3,9.108783,-4.035374
vaccine,1,7.7785335,9.421974
cell,2,12.306166,3.9446993
health,6,9.173845,13.228136
protein,4,13.375437,11.921077
protein,2,13.766846,7.0758996
vaccine,1,6.976221,6.3630843
drug,0,5.640533,11.087877
sample,5,5.472141,3.5143616
drug,0,5.254078,10.7657
protein,4,10.644405,10.041782
protein,4,11.392917,10.78845
health,6,1.1174185,0.70993984
patient,3,8.150651,-2.94503
health,6,-1.1300069,3.5291595
patient,3,9.066233,-3.3474944
cell,0,11.571817,3.76077
protein,4,13.40147,10.047643
patient,3,9.264542,-4.2408056
protein,4,10.738903,10.153546
drug,0,6.4888535,11.27851
drug,0,6.806234,11.81363
vaccine,1,9.516062,8.950493
health,6,-3.0863671,4.508064
patient,3,8.371398,-3.4495823
cell,2,14.030375,4.005572
cell,2,11.703086,5.5775347
protein,4,13.081691,12.693981
health,6,5.3937306,7.4029403
vaccine,6,5.900854,7.444427
patient,3,7.1193376,-1.1661528
patient,3,5.458985,-2.1477363
patient,3,6.9810176,-2.925446
health,6,-2.3686414,4.081345
drug,0,6.214021,12.010596
drug,0,5.787588,10.96776
protein,4,12.542559,12.255306
vaccine,1,7.4526515,7.6822114
cell,2,14.259229,3.7785244
drug,0,7.041005,10.045441
cell,2,12.423852,3.5838766
cell,2,14.531305,5.574837
patient,3,8.657116,-3.3059862
drug,1,7.0747924,9.711763
protein,4,10.857074,12.947512
sample,5,6.705551,3.3268352
vaccine,1,10.588904,6.3077674
cell,2,13.498252,5.0870404
cell,2,12.195924,3.6136816
protein,4,13.182424,12.738447
protein,2,13.455861,9.042574
patient,3,6.042013,-2.4329197
sample,5,3.7639797,2.9517443
patient,3,6.013445,-2.4181964
cell,2,13.902828,3.0946927
protein,4,13.0687,10.763827
sample,5,5.952661,2.5597548
patient,3,8.761796,-3.1188583
cell,2,14.121557,4.4052057
sample,5,4.9424,2.2732415
vaccine,1,7.440465,6.974424
sample,5,13.448454,5.43843
patient,3,9.082927,-3.4746015
protein,4,13.206107,12.9635315
protein,4,13.038066,12.48346
health,6,-0.67620075,2.258499
protein,0,9.900259,12.90046
protein,4,11.24562,12.169922
health,6,-1.5639646,2.906578
health,6,-1.496453,2.8516142
cell,2,13.51249,5.0669184
protein,4,12.302723,12.968251
vaccine,1,10.055547,6.6063876
cell,2,13.760262,3.4788754
vaccine,1,6.6961675,6.018882
patient,3,5.852983,-2.3377051
vaccine,1,8.1339035,6.116004
patient,3,7.1563287,-1.2497034
vaccine,1,10.038401,6.6197433
health,6,-0.1587127,4.0366454
health,0,-0.82891107,3.4434252
protein,4,12.981038,11.151464
patient,3,2.7917902,-0.41127658
vaccine,1,6.8256536,6.0816164
patient,3,9.140938,-3.456215
protein,4,9.967645,13.019873
protein,4,7.265786,3.3307033
health,6,-3.310945,4.7908506
vaccine,1,6.749579,6.1214347
protein,4,12.862882,11.094324
protein,4,13.118521,13.383187
sample,5,5.3425007,2.975457
vaccine,1,7.0799994,6.5067086
vaccine,1,7.84176,6.965688
health,6,-2.1955473,4.0233397
drug,0,6.0879235,11.734684
vaccine,6,5.8430843,7.417894
vaccine,6,5.955641,7.4260464
cell,2,14.883145,3.5200765
vaccine,1,6.62464,7.5404673
protein,4,12.620137,12.80047
drug,0,6.17208,11.979919
protein,0,9.021292,11.686808
cell,2,14.566801,4.9810143
vaccine,1,10.318066,6.4686947
health,6,-3.1163719,4.5336046
vaccine,2,10.86112,6.13572
protein,4,11.313309,12.2015
drug,0,8.173748,11.615859
protein,4,11.822404,13.00968
sample,5,6.5292673,3.333371
cell,2,13.593712,2.9491673
cell,2,12.649284,3.7849112
health,6,1.7428309,0.20506121
protein,4,11.939119,11.270173
health,6,-2.397602,4.3791223
protein,4,12.794631,12.635413
drug,0,11.235682,3.7536402
sample,5,5.318571,2.8466184
cell,2,13.525743,5.0838537
cell,2,14.091301,7.2087584
health,6,-2.4869108,4.4526505
health,0,5.118806,10.58425
sample,1,6.542484,5.789092
patient,3,8.635599,-3.8283617
patient,0,11.794074,2.4574564
health,6,-2.7291167,4.2099586
sample,5,5.3652663,2.1877403
sample,5,3.4047732,3.0892808
patient,3,7.4637375,-1.834424
cell,2,14.214234,4.3844337
vaccine,1,6.474363,7.511489
protein,4,7.46056,3.6522248
protein,4,13.05712,13.1032095
drug,0,7.8475804,11.634335
cell,2,14.218201,6.543481
protein,4,9.944508,13.01591
cell,2,14.060634,3.8669329
vaccine,1,7.1308045,7.6542525
protein,4,13.345606,12.883622
cell,2,11.653235,5.631424
patient,3,5.96422,-2.392457
protein,4,13.258556,9.994248
sample,5,5.950428,1.8625524
health,6,-3.2675235,4.7326827
drug,0,7.9057527,11.571764
health,6,-2.3783064,4.3966203
patient,3,6.5235314,-2.670516
protein,4,11.818114,11.625567
health,6,0.7280152,0.9651552
cell,2,12.361956,5.082128
sample,5,5.6658463,1.7365758
health,6,-1.1537235,3.7698495
health,6,1.5368081,1.0671909
sample,5,5.5956388,1.7544017
patient,1,8.330894,5.9216595
vaccine,1,10.435428,6.3994837
patient,3,8.560826,-2.793463
sample,5,3.5236223,3.0235903
health,6,-1.5959976,2.9478471
protein,4,13.16725,13.110249
cell,2,13.985976,6.682953
cell,2,13.728914,3.9970517
drug,0,6.081659,11.721731
cell,2,13.732061,3.448096
protein,4,10.794584,10.243812
sample,5,5.800979,4.2747936
patient,2,11.639975,1.8231177
health,6,5.2644615,7.3895535
patient,3,5.61219,-2.2221801
drug,0,7.0822425,11.743617
health,6,1.9497482,0.035491496
health,6,1.7392234,3.472346
health,6,-1.4782661,4.7286882
health,6,-2.0504994,4.398316
patient,3,5.9958286,-2.4002733
cell,2,11.611337,5.70667
protein,4,12.970756,13.441203
health,6,-3.2616224,4.7416887
cell,2,13.629796,3.4925902
drug,0,5.6545854,11.24719
patient,3,7.5762563,-2.015183
health,3,2.6082008,-0.24638255
health,6,-1.6656518,3.7317052
cell,0,11.725428,3.6987805
patient,3,8.714526,-3.1639662
patient,3,8.264126,-2.7437453
patient,3,6.7764673,-0.59129936
patient,3,2.9013813,-0.65517926
protein,4,12.721131,12.445014
health,0,5.0402055,10.527537
sample,5,6.4327655,2.8008726
health,6,-2.773772,4.255546
protein,4,13.201259,12.793577
cell,2,14.598757,5.08672
health,6,-1.5054026,4.679926
cell,2,12.92873,3.8191485
health,6,5.1159925,7.324943
drug,0,6.84949,11.036517
patient,3,9.14141,-4.1110406
vaccine,1,8.203966,6.7351503
cell,2,14.678772,3.873921
cell,2,12.736958,2.6029112
cell,2,12.352194,2.2652736
drug,0,6.1590075,11.985705
patient,3,8.760357,-3.246432
patient,3,9.269672,-4.242081
sample,5,5.363101,2.9310143
drug,0,11.0889435,3.801628
sample,3,6.565665,-0.1931766
cell,2,14.195453,4.1819887
health,6,9.211919,13.212329
sample,5,5.8005137,4.378303
sample,5,5.3963995,3.2449977
cell,2,14.263247,5.4347434
health,6,-1.3150998,2.6630917
vaccine,1,7.253041,6.756104
vaccine,1,8.972723,8.303681
patient,3,8.922925,-4.003648
protein,4,10.819515,10.247295
health,3,2.8077185,-0.5877563
health,6,1.5512501,3.5097766
drug,0,7.0165343,10.082836
drug,0,5.4403677,10.9430895
protein,4,13.494903,9.276295
health,6,-1.766941,4.107139
protein,4,11.923277,11.265515
patient,3,9.09028,-3.2362428
sample,5,5.552523,3.8122823
sample,5,6.1177993,2.619382
vaccine,1,7.6351314,8.3966
cell,2,12.8790865,2.7676196
protein,4,13.249018,13.272168
protein,4,11.719381,11.094534
cell,2,13.083669,3.0264406
health,6,-2.9879622,4.3936405
protein,4,11.853697,12.436856
drug,0,11.365211,4.1015444
sample,5,5.239562,2.0764685
sample,5,5.5307183,1.9325182
vaccine,1,7.2122216,7.642679
protein,4,13.290982,9.934446
protein,4,10.749609,10.191159
protein,4,13.024097,12.451732
cell,2,14.589544,3.7567642
vaccine,1,7.7302117,7.8560357
patient,3,7.7900524,-2.5040734
health,0,0.95442903,3.7002103
cell,2,12.423411,2.382091
sample,5,6.549482,1.9605032
patient,3,7.537065,-2.9029655
health,6,-1.5966696,4.673675
sample,5,6.708837,2.9881835
cell,2,13.914104,5.124666
protein,0,10.161694,11.6366
vaccine,1,7.872409,7.8786664
sample,5,4.2587223,2.7032409
patient,2,11.730127,1.9084291
vaccine,1,6.933404,6.3216467
cell,2,11.588422,5.6553116
vaccine,1,7.92347,7.788802
drug,0,5.457529,11.001027
cell,2,12.085923,2.1606302
protein,4,11.638616,13.011542
vaccine,1,9.415138,8.922433
cell,2,12.439709,3.5988019
patient,3,7.3725805,-1.7216524
sample,5,5.327574,2.480186
patient,3,4.7544413,-1.7710981
drug,0,5.537789,11.103836
protein,4,11.266482,12.185501
sample,5,5.840578,4.453417
vaccine,1,6.8609443,6.4594417
cell,2,12.963699,3.738124
protein,4,12.439774,12.045378
patient,3,5.902589,-2.36403
patient,3,7.0049934,-0.9566948
health,6,5.6032996,7.4470754
protein,4,12.060823,12.829593
protein,4,10.348652,9.678648
protein,4,13.121633,10.465506
health,6,0.29695192,3.8901904
sample,5,4.711301,2.436922
cell,2,12.509392,5.0064154
sample,5,5.3976016,2.9578168
drug,0,10.939319,3.8892345
health,0,-0.7996486,3.431924
protein,4,13.018822,12.966922
sample,5,5.701251,2.011817
drug,0,6.6061473,11.99221
protein,0,10.038365,11.645052
sample,5,3.4771574,3.0915627
protein,2,13.799467,8.279384
health,6,-0.1285105,3.8467524
health,6,0.182652,3.8646095
drug,0,5.283322,10.750907
protein,4,13.065194,10.7795725
protein,0,8.842761,11.690264
patient,3,8.412613,-3.7231488
drug,0,5.730318,10.854495
sample,5,5.1630216,2.153189
protein,4,12.7577095,12.5729685
drug,0,6.489663,11.383661
sample,5,3.7616625,2.9587557
protein,4,12.107342,12.476712
vaccine,1,7.0663486,6.946707
protein,4,13.235915,10.191807
protein,2,13.757345,8.339529
sample,5,6.7747707,3.155787
sample,5,3.5888183,3.0798185
sample,5,3.4402435,3.1192563
cell,2,11.548174,5.683117
patient,3,7.839553,-2.9263902
protein,4,13.413915,13.58665
patient,2,8.256392,-2.2962172
drug,0,8.336535,11.618115
patient,3,8.726519,-3.2894888
health,6,0.616824,1.0586816
patient,3,9.012072,-3.9775648
protein,4,10.167199,12.994592
drug,0,7.939146,11.617567
protein,4,7.2893634,3.465301
sample,5,5.705603,2.0474496
sample,5,5.760589,1.725645
health,0,5.1077986,10.591582
drug,0,8.259633,11.631022
health,6,-2.6291122,4.2285604
protein,2,13.87873,7.9231286
protein,4,13.174908,12.783227
health,6,9.065214,13.283789
sample,3,6.39398,0.16320159
cell,2,14.011471,3.9166636
patient,0,6.6915946,10.510044
sample,5,5.598656,2.0867896
health,6,-1.8905965,4.427073
protein,4,11.854079,12.393524
cell,2,14.458519,3.638488
sample,0,5.2494707,3.363739
patient,2,11.833498,2.0710235
vaccine,1,7.922305,7.713419
patient,3,7.3248577,-3.1751492
patient,3,6.9548783,-2.9242475
cell,2,14.077615,7.0750356
sample,3,6.4119163,0.10249195
patient,2,11.890117,2.064434
sample,5,3.3797638,3.1180131
health,6,0.0018633244,3.995607
vaccine,1,6.815136,6.126437
cell,2,11.270009,5.8750887
sample,6,2.9014797,3.27458
cell,2,14.222142,6.56127
patient,3,8.683165,-3.4648435
cell,2,14.445241,5.816124
health,6,0.07642649,4.0306587
drug,0,6.1854625,11.691024
cell,2,11.406389,5.7485476
health,6,-1.4195926,2.757902
sample,5,5.7281513,1.3256556
cell,2,14.250481,6.5430098
drug,0,11.47094,3.8961992
health,6,5.3338943,7.362049
vaccine,1,8.129453,6.4533324
health,2,12.91159,3.7519054
drug,0,5.168426,10.696816
protein,4,7.310582,3.5047956
cell,2,14.392992,3.817478
protein,0,10.634595,11.546895
sample,5,4.413786,2.6645837
cell,2,11.860394,5.463147
sample,5,3.4984546,3.0912893
drug,0,6.1587377,12.039635
health,6,-1.9551811,4.1512985
sample,5,5.3482933,2.467766
protein,4,10.562592,9.984613
cell,2,12.933301,3.769246
sample,5,5.6271844,2.0477238
cell,2,13.8911,4.689337
drug,0,6.591866,10.646755
protein,4,13.391867,9.556663
health,6,-2.707886,4.3388615
health,6,0.18168563,1.4142829
patient,3,8.7681675,-3.1344607
cell,2,14.580757,3.945986
health,6,-2.3358567,3.608724
patient,3,8.742574,-3.154325
drug,0,6.6953335,11.831997
patient,3,8.181804,-2.9727771
protein,4,12.987778,12.950267
protein,4,13.169683,13.037677
cell,2,13.590261,4.227903
vaccine,1,7.2664704,6.74928
vaccine,1,6.6818647,7.5841293
health,6,-2.6864188,4.2370844
protein,0,8.986254,11.680159
health,6,-2.2067459,4.379581
patient,1,8.255728,6.1328588
drug,0,6.494889,11.89839
drug,0,6.48154,11.314073
protein,4,12.949107,12.2708025
sample,5,5.8434734,1.2162635
drug,0,5.690894,11.241743
vaccine,1,7.0658727,7.6453276
vaccine,1,6.9259677,6.282643
patient,3,8.643768,-3.5383499
cell,2,14.689954,3.909532
protein,4,12.546237,12.813806
health,6,5.076483,7.3034563
cell,2,14.47606,5.6746306
sample,5,5.772794,4.337894
health,6,-0.700493,2.164211
cell,2,13.803764,3.4926405
sample,5,4.091136,2.4473011
protein,4,13.492158,13.664781
cell,2,13.908926,7.6711926
drug,0,6.1761427,11.712211
sample,5,4.5582266,2.8441813
protein,4,11.201006,12.141325
protein,4,13.165626,10.39005
health,6,-2.7008026,4.209743
protein,4,7.40325,3.5913258
health,6,-0.8667946,3.4194827
vaccine,1,8.199492,7.033863
sample,5,6.2078524,1.9428958
patient,3,8.723618,-3.1061213
vaccine,1,9.645715,9.057942
protein,4,13.30325,9.894884
sample,5,5.3438544,2.1582584
cell,2,14.063055,4.4696436
protein,4,13.508265,11.6529875
health,6,-1.4077948,3.6269138
health,0,-0.7618852,3.3258827
sample,5,5.8375297,4.4310884
vaccine,1,7.253254,7.685819
sample,5,3.6562097,2.9995618
patient,3,6.8772383,-0.7342881
patient,2,8.196923,-2.5636528
vaccine,1,9.554944,8.981705
health,6,-2.580689,3.963277
health,6,-3.2957616,4.780748
drug,0,6.6633964,11.975879
drug,0,5.9497714,11.294526
health,3,2.679319,-0.48521888
vaccine,1,8.184815,7.188122
vaccine,1,7.0194564,7.6454697
protein,4,12.055292,11.44999
vaccine,1,7.80893,7.5220103
health,6,-2.3754222,3.806853
cell,2,12.312718,5.1401
cell,2,12.033634,3.6303616
vaccine,1,7.8227754,7.354538
health,6,-2.7097077,4.3003836
protein,1,10.291371,9.723441
patient,3,8.645604,-3.7176757
sample,5,5.495399,3.5898225
vaccine,1,8.84975,7.068599
vaccine,1,7.2291427,7.258673
cell,2,13.556777,3.4775841
sample,5,5.1964073,2.0623724
health,6,-0.36415708,4.0879593
protein,5,10.047468,9.270274
drug,0,11.589017,3.1231096
sample,5,5.5429144,1.7394838
sample,5,3.1612787,3.2052636
health,6,-0.36502755,4.099834
patient,3,8.958358,-3.9559526
health,6,1.9165246,0.05741803
cell,2,14.648456,4.8222985
cell,2,13.492587,3.491607
cell,2,14.199272,6.5890017
patient,3,6.8780966,-1.2927632
protein,4,7.499302,3.6918614
cell,2,12.955293,3.7350218
health,6,0.8597095,3.1913683
drug,0,5.0967183,10.623138
protein,4,13.062278,10.780498
health,6,-0.7302953,2.3559387
sample,5,3.4238882,3.110489
health,6,9.042955,13.283
protein,4,13.527251,9.123724
vaccine,1,9.303973,8.810928
drug,0,6.0465627,11.645819
sample,5,5.5954723,3.7108426
vaccine,1,8.064186,7.2332735
protein,4,13.014389,12.626742
vaccine,1,8.090949,7.323666
health,6,-0.8933484,3.4247296
drug,0,6.244435,12.02452
protein,4,13.04449,13.452678
cell,2,14.151601,3.9450994
cell,2,14.281855,3.700367
vaccine,1,7.783345,6.9467983
drug,0,6.174801,11.986948
vaccine,1,7.2683053,6.7694626
vaccine,1,8.238444,6.429614
protein,4,12.848643,13.02196
cell,2,14.739674,3.7941272
vaccine,1,7.24843,6.7227707
health,0,4.977844,10.463633
vaccine,1,8.078383,7.228604
sample,5,5.2591443,2.255405
cell,2,14.644795,3.6234288
patient,3,8.768481,-3.2870634
health,6,1.4141148,0.43366945
health,6,0.82401264,3.6026118
drug,1,7.0971065,9.82655
drug,0,6.4559784,11.719736
patient,3,8.225271,-3.281094
drug,0,6.64286,10.687434
drug,0,6.1204243,11.404854
vaccine,1,10.283888,6.4901094
cell,2,12.302988,2.4720213
patient,3,9.229068,-4.196609
vaccine,1,6.5572495,5.7813025
protein,1,10.210324,9.64982
patient,3,8.939966,-3.9162827
patient,3,8.698268,-3.384272
protein,0,8.928651,11.686674
patient,3,8.81598,-3.6882162
vaccine,1,8.23536,6.8762445
patient,3,8.442521,-3.3045857
health,6,-0.13411246,1.6708171
protein,4,7.2254033,3.4209306
protein,4,13.446348,13.604538
vaccine,1,7.364082,9.09339
drug,0,5.52215,11.082977
cell,2,14.632336,4.7640433
cell,2,14.410261,5.821374
patient,3,6.7025084,-2.6959734
health,6,0.7779681,3.6908877
patient,3,9.176413,-4.1526666
vaccine,1,6.559134,7.5519605
patient,3,7.4644732,-1.8446754
cell,2,12.307185,2.2558825
cell,2,14.421097,5.8384356
protein,4,10.610568,12.977115
patient,3,8.593334,-3.7444105
vaccine,1,7.8723855,7.8136525
protein,4,11.962843,11.294318
patient,3,6.354667,-2.597105
protein,4,11.971516,12.287612
cell,2,14.826132,3.676936
sample,5,5.970872,0.79560804
health,6,0.7482253,3.6902955
patient,3,6.958802,-0.8715852
health,6,-0.51761645,4.1490335
patient,3,8.957215,-3.9287775
protein,4,12.516013,12.217623
sample,5,5.8344736,1.0806639
drug,0,11.054521,3.815777
protein,4,12.508026,11.964584
sample,5,4.6524205,2.4809866
patient,3,9.0270605,-3.3192873
vaccine,1,9.805652,7.0593853
protein,4,12.251174,12.795901
sample,5,5.8862934,2.5399773
cell,2,14.188293,6.66745
health,6,-0.37121496,4.0657444
sample,5,6.5147285,2.8227751
cell,2,12.403656,3.5664155
drug,0,5.931808,10.880754
vaccine,1,7.954661,7.476569
protein,4,13.334593,12.993804
patient,3,7.78614,-3.4756374
cell,2,14.542894,3.7347739
protein,4,11.640907,12.313945
