topic,cluster,x,y
vaccine,1,7.8343143,7.8669305
patient,3,5.4721203,-2.1514125
protein,2,14.001936,7.52717
cell,2,14.375812,3.7613416
patient,3,8.928632,-3.925169
protein,4,12.004927,13.056483
health,6,-3.3112297,4.7925625
health,6,-2.716491,4.3215384
patient,3,7.4687166,-1.8925067
cell,2,12.301171,2.2594738
health,6,-1.138055,4.884267
sample,5,3.2843935,3.1704843
sample,5,6.023617,0.7161408
drug,0,7.8839984,11.646228
vaccine,6,5.874806,7.425931
vaccine,1,6.5623755,5.8554387
health,6,-3.2387435,4.711907
protein,1,10.09874,9.553367
protein,4,11.830371,13.010442
health,6,-3.2788177,4.761752
health,6,-3.0360725,4.4263487
protein,4,12.794142,13.171329
drug,0,6.1510034,12.030358
cell,2,14.629198,4.463683
drug,0,6.704556,10.545648
vaccine,1,7.897827,7.8595514
drug,0,6.669572,10.862097
protein,4,13.341396,13.45369
sample,5,3.0798564,3.1978114
sample,5,6.9143057,2.1272109
health,6,-0.6918405,2.1328228
patient,3,8.1670885,-3.2126043
protein,4,13.458432,9.271441
health,6,-1.5982736,2.9139843
health,6,1.002965,3.6445565
patient,3,7.0060124,-2.9535952
health,6,-2.6362498,4.2704506
cell,2,14.679612,3.7720828
health,6,-1.772944,3.0738935
protein,4,13.394367,11.949421
health,6,2.183394,3.3908472
sample,5,6.5739307,1.9562563
vaccine,0,7.5166583,9.290171
drug,0,6.266343,11.859718
patient,3,8.117378,-3.171261
sample,5,5.8204956,2.0919423
patient,1,11.282826,2.0786238
health,6,-2.403514,4.4474125
health,6,-1.1954937,3.4492214
sample,5,5.4150114,3.1871204
drug,0,10.924075,3.9121041
patient,3,9.118455,-3.374357
patient,3,2.8647237,-0.6144998
patient,3,4.699792,-1.7420022
sample,5,5.141905,2.058041
cell,2,14.73654,3.7069085
health,6,-0.10234971,1.6502308
health,6,-0.67747223,2.1305287
health,6,5.4905787,7.4188333
cell,2,12.430112,3.5976515
health,6,-2.4525466,4.16693
vaccine,1,6.746069,6.1348906
cell,2,11.816203,3.6774006
patient,3,6.8007936,-1.3923266
drug,0,6.595292,10.72259
sample,5,5.591998,2.6516423
patient,1,8.313208,5.95561
cell,2,14.803596,3.5812995
health,6,1.7586219,0.17444682
vaccine,1,7.8673596,7.905807
sample,5,6.6946697,2.0499854
protein,4,12.687882,13.417895
health,6,-1.2115542,2.547758
sample,5,5.5019965,2.3015008
protein,4,7.3863935,3.5806603
sample,5,6.917616,3.1408987
protein,4,13.204217,13.263836
drug,0,6.5750127,11.90552
health,6,-1.9849616,3.2820015
protein,4,13.204404,13.261785
sample,5,5.761871,3.1069834
health,6,-2.9382088,4.3491216
protein,4,13.019347,13.2980995
protein,4,12.467055,12.586007
drug,0,6.514982,11.251196
drug,0,5.230997,10.633122
health,6,0.41001567,3.7388442
health,6,-1.5868529,2.9430895
patient,3,3.1772523,-0.8212485
health,6,-0.68294674,4.2043514
cell,2,12.248939,3.7852626
patient,3,7.6317244,-2.2205799
health,6,2.123338,-0.091723315
health,6,-1.3287251,3.6617799
protein,4,11.713372,13.014496
protein,1,9.939286,9.44431
cell,2,14.187798,6.69434
patient,3,9.282694,-4.2749968
patient,0,11.716073,2.6801605
patient,1,8.272629,6.06232
patient,3,8.550707,-2.6290348
cell,2,11.911347,3.6796625
cell,2,12.50642,2.3607986
patient,3,8.688934,-3.3825405
vaccine,1,9.608599,6.817576
vaccine,1,6.5579147,5.827174
drug,0,6.643628,11.951009
health,6,-0.3779055,4.1160984
health,6,1.2034788,0.6008076
cell,2,13.992044,4.3561625
drug,0,5.28745,10.675562
health,6,0.97618216,3.656128
health,6,-1.6058887,4.6630273
cell,2,14.620098,5.110958
health,6,-1.875527,3.5946116
cell,2,14.645656,5.0142922
protein,4,13.031223,10.720272
patient,3,8.741886,-3.289861
protein,4,12.260726,13.148241
vaccine,1,6.612358,7.557072
health,2,12.898868,3.769183
sample,5,3.7567723,2.939174
cell,2,14.662052,4.797215
cell,2,13.699373,4.8741713
cell,2,14.488523,5.684521
sample,5,5.776847,4.3288183
protein,4,11.306904,12.186256
protein,4,11.930229,11.27647
protein,4,11.218256,12.15587
health,6,2.3493268,-0.24548006
cell,2,14.16895,6.4236355
patient,1,8.267429,6.129289
drug,0,6.2557282,11.468848
drug,0,6.235921,11.961618
sample,5,6.3544703,2.9604666
cell,2,14.53828,3.8386276
drug,0,8.084689,11.609075
protein,4,10.821988,10.277861
patient,3,9.267546,-4.2435584
health,6,1.8032235,0.14362207
cell,2,12.146949,5.2618923
sample,5,5.983741,0.71708065
health,6,-2.694815,4.3045793
patient,3,8.634174,-3.6592486
sample,5,3.3835526,3.1482012
vaccine,1,8.899491,8.230762
patient,3,6.7121615,-2.7766347
cell,2,11.15381,5.9497976
drug,0,8.101024,11.556651
patient,3,6.0201397,-2.4384563
protein,4,12.135633,13.100505
health,0,5.0797873,10.561487
protein,4,7.2494073,3.4323437
cell,2,14.496836,3.7875173
drug,0,7.831882,11.643973
sample,5,5.6912704,4.178995
